id	document	label
179467118	세상은 거창한 사명감이 아니라 너를 옆에두기 위한 간절함때문에 구해졌을 뿐.	0
15870460	이병헌목소리대박이네	0
37818455	이북으로 만들어주세요	0
179513691	강은 빠지는 곳이 아니라, 건너가는 것임을....	0
15844049	베르나르베르베르	0
179527556	나무야 미안해 ㅠㅠ	0
179456492	많이위로받았어요	0
179566551	이 사람은 신뢰가 안감	0
179566551	5분도 안돼서 덮었다. 그동안 전자책, 블로그 글을 통해 했던 것 또 우려서 썼다.	0
179464905	연대합니다	0
16407034	이병헌목소리개꿀	0
15759674	책끝을접다추천작	0
179527556	조국이 아니었다면 절대 몰랐을 검찰개혁이 반드시 이루어져야하는 이유.	0
179513691	재밌어요! 드라마로도 나오면 좋겠어요.	0
179527556	조국이 시작한 검찰개혁, 곧 끝이 보이리라 믿는다.	0
179471850	한국사에서 위인이 이승만이라고 적힌대에서 이 책은 한국사의 가치를 잃은 책이다 믿고 거른다	0
115480877	다읽어주는게아니네요	0
179467030	후루룩읽기좋은책	0
179467030	마음 따듯해지는어른동화	0
15653814	일본특유의감성	0
179455378	그냥구독자는못보나요?	0
15856125	힐링되는책	0
15783617	도태남의 댓글까지 완벽한 현대문학	0
17955231	여성 이전에, 사람	0
470505	e북서비스해달라	0
15868330	변요한목소리들으려고기다림	0
37781223	막례쓰ㅠㅠㅠ행복하세요	0
179553908	전자책으로 열어주세요~	0
179482594	원래 띄엄띄어 읽어주는건가요? 처음이용해보는데 뭔가 불편하네요	0
23419807	그냥책좀읽어주면안될까	0
15870460	처음 몇장만 읽어줌	0
179462749	재밌는대화를함께한느낌	0
17955231	남자들이 몰려 와서 부들대는 거 보니 좋은 책이 분명하다	0
15844047	역시베르베르	0
17955231	가부장제 타파의 핵심인 탈코르셋의 교과서	0
179513691	재미있고 읽기 쉬워요 외전이 필요할 거 같아요 2권 내주세요	0
16055718	지금 내게 딱 필요한 말	0
17955231	#남자들왜여가서자들거려	0
179482075	좋음과 불쾌함이 공존	0
179527209	이렇게 욕하는 남성들이 많은걸 보니 좋은 책인가보네요. 재미있게 읽어보겠습니다.	0
179471764	다 읽어본 사람만 리뷰 쓰게 하면 안될까요? 누가봐도 읽지도 않은 정치 협잡꾼이 많네요	0
15926256	번역이 개판	0
179464718	믿고보는게이고	0
9424133	pdf라니....	0
179569714	이 책도 문해력이 딸려 이해가 안된다.	0
10437241	전자책으로도보고싶어요	0
179471152	카이스트생은 공부도 잘하고 글도 잘쓴다. 난 뭘까.	0
179462377	책 읽어 드립니다	0
179467030	단숨에읽은책	0
516211	어떻게 총,균,쇠 책이 없죠?	0
179461496	박정민!!!	0
413504	가독성이...	0
179482075	흡입력이 좋아 금세 읽어냈지만 식인적 표현이 참 슬프고 힘들었다	0
14247204	이래서소설을읽는구나	0
429283	불쾌하지만멈출수없는	0
179466986	안읽은사람이없어야하는책	0
429283	나까지이상해져	0
15947313	과대평가된책	0
23419807	리더가별루	0
179482594	자신의 성향대로 선택할 수 있게 해주세요~~저는 전체내용을 모두 오디오로 듣고싶어욧!!!	0
179472276	자기야. 왜 또 칭얼거려.	0
15759674	빨려드는이야기	0
11323768	얼른 밀리에서 만나고 싶어요!!- 열일부탁드랴용	0
179467118	멸망은 필연이었지만 구원은 우연이었다	0
14505405	이시대를사는여성의필독서	0
179464718	히가시노게이노	0
15783617	백래시 책에 대한 댓글이 백래시 현상을 말해준다.	0
14247204	폭풍공감폭풍눈물	0
23418315	장안의화제90ㅋㅋㅋ	0
179527015	그닥 감동도 여운도 없었다. 흔한 일본청춘물의 감동 코드 딱 거기까지	0
